Class,cg-na,cg-npm,Pattern Name,count
io.questdb.griffin.engine.table.LatestByValueDeferredFilteredRecordCursorFactory,0,4,Factory Method;Template Method,2
io.questdb.griffin.engine.functions.cast.AbstractCastToSymbolFunction,20,31,Factory Method;Decorator;Template Method,3
io.questdb.griffin.engine.functions.cast.CastCharToSymbolFunctionFactory,0,10,Factory Method;Decorator;Template Method,5
io.questdb.griffin.engine.functions.cast.CastShortToSymbolFunctionFactory,0,10,Factory Method;Decorator;Template Method,5
io.questdb.griffin.engine.functions.cast.CastByteToSymbolFunctionFactory,0,10,Factory Method;Decorator;Template Method,5
io.questdb.griffin.engine.functions.cast.CastFloatToSymbolFunctionFactory,0,10,Factory Method;Decorator;Template Method,5
io.questdb.griffin.engine.functions.cast.CastIntToSymbolFunctionFactory,0,10,Factory Method;Decorator;Template Method,5
io.questdb.griffin.FunctionFactory,0,27,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.regex.AbstractLikeStrFunctionFactory,5,11,Factory Method;Template Method;Decorator;State,5
io.questdb.griffin.engine.functions.cast.CastFloatToIntFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.catalogue.PgTypeFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastStrToStrArrayFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastLongToSymbolFunctionFactory,10,24,Factory Method;Decorator;State,5
io.questdb.griffin.engine.functions.groupby.LastTimestampGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastDoubleToTimestampFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastCharToLong256FunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.catalogue.SimulateCrashFunctionFactory,15,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.groupby.LastShortGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastIntToFloatFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.groupby.SumFloatGroupByFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastShortToDoubleFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.eq.EqLongFunctionFactory,0,9,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastDoubleToFloatFunctionFactory,1,7,Factory Method;Decorator;State,4
io.questdb.griffin.engine.functions.str.SplitPartFunctionFactory,13,21,Factory Method;Template Method;Decorator;Bridge,5
io.questdb.griffin.engine.functions.date.TimestampFloorFunctionFactory,0,6,Factory Method;Decorator,3
io.questdb.griffin.engine.functions.cast.CastDateToTimestampFunctionFactory,0,6,Factory Method;Decorator,3
