Instance ID,Pattern,mg-ca,mg-ce,Number of Classes,cg-na,cg-npm,TD,Minor,Major,Critical
903,State,756,21,2,1,53,0,0,0,0
904,State,756,20,2,1,53,0,0,0,0
905,State,756,20,2,2,54,0,0,0,0
906,State,756,20,2,2,54,0,0,0,0
907,State,756,21,2,2,54,0,0,0,0
908,State,756,21,2,2,54,0,0,0,0
909,State,756,20,2,1,53,0,0,0,0
910,State,756,20,2,1,53,0,0,0,0
911,State,756,20,2,1,53,0,0,0,0
912,State,756,20,2,1,53,0,0,0,0
913,State,756,20,2,2,54,0,0,0,0
914,State,756,20,2,2,54,0,0,0,0
915,State,756,21,2,2,55,0,0,0,0
916,State,756,21,2,2,54,0,0,0,0
917,State,756,20,2,1,53,0,0,0,0
918,State,756,20,2,1,53,0,0,0,0
919,State,756,20,2,1,54,0,0,0,0
920,State,756,21,2,1,53,0,0,0,0
921,State,756,21,2,1,53,0,0,0,0
922,State,756,20,2,1,53,0,0,0,0
923,State,756,20,2,2,54,0,0,0,0
924,State,756,20,2,1,53,0,0,0,0
925,State,756,20,2,2,54,0,0,0,0
926,State,756,20,2,2,54,0,0,0,0
927,State,756,20,2,2,54,0,0,0,0
928,State,756,21,2,2,55,0,0,0,0
929,State,756,22,2,2,54,0,0,0,0
930,State,756,21,2,2,53,0,0,0,0
931,State,756,21,2,2,53,0,0,0,0
932,State,756,20,2,1,53,0,0,0,0
933,State,756,22,2,2,54,0,0,0,0
934,State,756,21,2,2,53,0,0,0,0
935,State,756,21,2,2,53,0,0,0,0
936,State,756,22,2,2,54,0,0,0,0
937,State,756,21,2,2,53,0,0,0,0
938,State,756,21,2,2,53,0,0,0,0
939,State,756,22,2,2,54,0,0,0,0
940,State,756,21,2,2,53,0,0,0,0
941,State,756,21,2,2,53,0,0,0,0
942,State,756,21,2,1,53,0,0,0,0
943,State,756,20,2,1,53,0,0,0,0
944,State,756,20,2,2,54,0,0,0,0
945,State,756,21,2,2,54,0,0,0,0
946,State,756,21,2,2,54,0,0,0,0
947,State,756,21,2,2,55,0,0,0,0
948,State,756,21,2,1,53,0,0,0,0
949,State,756,22,2,5,55,0,0,0,0
950,State,756,24,2,11,57,0,0,0,0
951,State,756,24,2,5,54,0,0,0,0
952,State,756,24,2,6,55,0,0,0,0
953,State,756,23,2,4,54,0,0,0,0
954,State,756,24,2,4,55,0,0,0,0
955,State,756,20,2,1,53,0,0,0,0
956,State,756,20,2,1,53,0,0,0,0
957,State,756,20,2,1,53,0,0,0,0
958,State,756,24,2,5,54,0,0,0,0
959,State,756,24,2,6,55,0,0,0,0
960,State,756,22,2,6,53,0,0,0,0
961,State,756,23,2,4,54,0,0,0,0
962,State,756,24,2,4,55,0,0,0,0
963,State,756,23,2,3,53,0,0,0,0
964,State,756,21,2,2,54,0,0,0,0
965,State,756,21,2,2,53,0,0,0,0
966,State,756,22,2,2,54,0,0,0,0
967,State,756,21,2,2,53,0,0,0,0
968,State,756,21,2,2,54,0,0,0,0
969,State,756,25,2,6,57,0,0,0,0
970,State,756,23,2,3,54,0,0,0,0
971,State,756,22,2,3,55,0,0,0,0
972,State,756,22,2,3,55,0,0,0,0
973,State,755,23,2,4,55,0,0,0,0
974,State,756,35,2,8,57,0,0,0,0
975,State,755,23,2,2,57,0,0,0,0
976,State,755,25,2,3,59,0,0,0,0
977,State,755,25,2,3,58,0,0,0,0
978,State,2,65,1,17,2,4,0,2,2
979,State,2,65,1,17,2,4,0,2,2
980,State,25,20,2,9,12,0,0,0,0
981,State,25,20,2,9,12,0,0,0,0
982,State,25,16,2,8,12,0,0,0,0
983,State,25,16,2,8,12,0,0,0,0
984,State,25,17,2,8,12,0,0,0,0
985,State,25,17,2,8,12,0,0,0,0
986,State,25,16,2,8,12,0,0,0,0
987,State,25,16,2,8,12,0,0,0,0
988,State,25,13,2,9,11,0,0,0,0
989,State,25,13,2,9,11,0,0,0,0
990,State,25,13,2,6,11,0,0,0,0
991,State,25,13,2,6,11,0,0,0,0
992,State,25,13,2,6,11,0,0,0,0
993,State,25,13,2,6,11,0,0,0,0
994,State,25,13,2,6,11,0,0,0,0
995,State,25,13,2,6,11,0,0,0,0
996,State,25,13,2,6,11,0,0,0,0
997,State,25,13,2,6,11,0,0,0,0
998,State,25,13,2,6,11,0,0,0,0
999,State,25,13,2,6,11,0,0,0,0
1000,State,25,14,2,6,11,0,0,0,0
1001,State,25,14,2,6,11,0,0,0,0
1002,State,25,13,2,6,11,0,0,0,0
1003,State,25,13,2,6,11,0,0,0,0
1004,State,25,14,2,6,11,0,0,0,0
1005,State,25,14,2,6,11,0,0,0,0
1006,State,25,14,2,6,11,0,0,0,0
1007,State,25,14,2,6,11,0,0,0,0
1008,State,25,14,2,6,11,0,0,0,0
1009,State,25,14,2,6,11,0,0,0,0
1010,State,25,13,2,12,11,0,0,0,0
1011,State,25,13,2,12,11,0,0,0,0
1012,State,25,13,2,6,11,0,0,0,0
1013,State,25,13,2,6,11,0,0,0,0
1014,State,25,14,2,9,11,0,0,0,0
1015,State,25,14,2,9,11,0,0,0,0
1016,State,25,13,2,6,11,0,0,0,0
1017,State,25,13,2,6,11,0,0,0,0
1018,State,25,13,2,6,11,0,0,0,0
1019,State,25,13,2,6,11,0,0,0,0
1020,State,25,13,2,6,11,0,0,0,0
1021,State,25,13,2,6,11,0,0,0,0
1022,State,22,7,2,2,2,0,0,0,0
1023,State,22,6,2,2,2,0,0,0,0
1024,State,22,6,2,2,2,0,0,0,0
1025,State,22,6,2,2,2,0,0,0,0
1026,State,22,6,2,2,2,0,0,0,0
1027,State,22,6,2,2,2,0,0,0,0
1028,State,22,6,2,2,2,0,0,0,0
1029,State,22,6,2,2,2,0,0,0,0
1030,State,22,6,2,2,2,0,0,0,0
1031,State,22,6,2,2,2,0,0,0,0
1032,State,22,6,2,2,2,0,0,0,0
1033,State,22,6,2,2,2,0,0,0,0
1034,State,22,6,2,2,2,0,0,0,0
1035,State,22,8,2,2,2,0,0,0,0
1036,State,22,6,2,2,2,0,0,0,0
1037,State,22,6,2,2,2,0,0,0,0
1038,State,22,7,2,2,2,0,0,0,0
1039,State,22,6,2,2,2,0,0,0,0
1040,State,22,6,2,2,2,0,0,0,0
1041,State,1,8,1,4,3,0,0,0,0
1042,State,1,8,1,4,4,0,0,0,0
1043,State,1,8,1,4,3,0,0,0,0
1044,State,1,8,1,4,4,0,0,0,0
1045,State,2,11,1,3,11,0,0,0,0
1046,State,124,159,2,41,79,15,5,1,9
1047,State,110,30,2,17,71,0,0,0,0
