Class,TotalBrokenRules,Minor,Major,Critical,Info
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/PickAttributesAction.java,2,2.0,0.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/SelectionColorChooserAction.java,1,1.0,0.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/SelectionColorChooserHandler.java,5,0.0,5.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/SelectionColorIcon.java,2,0.0,0.0,2.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/StrokeIcon.java,1,0.0,1.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/UngroupAction.java,1,0.0,1.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/ZoomAction.java,1,0.0,1.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/AbstractConnector.java,9,2.0,2.0,4.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/ChopDiamondConnector.java,5,1.0,3.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/ChopEllipseConnector.java,2,0.0,1.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/ChopRectangleConnector.java,1,0.0,0.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/ChopRoundRectangleConnector.java,1,0.0,0.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/Connector.java,2,1.0,0.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/LocatorConnector.java,2,0.0,1.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/decoration/AbstractLineDecoration.java,2,0.0,2.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/decoration/ArrowTip.java,1,0.0,1.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/decoration/CompositeLineDecoration.java,1,0.0,0.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/decoration/LineDecoration.java,1,1.0,0.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/AbstractAttributeEditorHandler.java,16,3.0,8.0,5.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/AttributeChangeEdit.java,3,0.0,1.0,2.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/BezierNodeEdit.java,1,0.0,1.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/CompositeFigureEvent.java,2,1.0,1.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/DrawingComponentRepainter.java,1,0.0,0.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/FigureAdapter.java,7,0.0,0.0,7.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/FigureEvent.java,3,0.0,0.0,3.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/HandleEvent.java,1,1.0,0.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/HandleMulticaster.java,4,0.0,4.0,0.0,0.0
