Class,Patterns,cg-na,cg-npm
io.questdb.griffin.engine.functions.cast.CastCharToDateFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.date.ToUTCTimestampFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.cast.CastCharToTimestampFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.date.MinuteOfHourFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.math.PIDoubleFunctionFactory,"Factory Method, Decorator",3,6
io.questdb.griffin.engine.functions.catalogue.SessionUserFunctionFactory,"Factory Method, Decorator",3,9
io.questdb.griffin.engine.functions.math.RemDoubleFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.date.ToTimestampVCFunctionFactory,"State, Factory Method, Decorator",9,10
io.questdb.griffin.engine.functions.cast.CastIntToLong256FunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastTimestampToShortFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.regex.MatchStrFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastIntToTimestampFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastIntToByteFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.math.AbsDoubleFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.cast.CastCharToFloatFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.test.TestSumTDoubleGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastStrToRegProcedureFunctionFactory,"Factory Method, Decorator",3,6
io.questdb.griffin.engine.functions.math.CotDoubleFunctionFactory,"State, Factory Method, Decorator",4,8
io.questdb.griffin.engine.functions.catalogue.FormatTypeFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastDateToCharFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.str.LeftFunctionFactory,"State, Factory Method, Decorator",8,13
io.questdb.griffin.engine.functions.groupby.MaxDoubleGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastStrToCharFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.groupby.CountIntGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.conditional.CaseFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.str.TrimFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.date.TimestampAddFunctionFactory,"State, (Object)Adapter, Factory Method, Decorator",27,23
io.questdb.griffin.engine.functions.cast.CastBooleanToByteFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.table.AllTablesFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.math.LogDoubleFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.cast.CastByteToIntFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.rnd.RndFloatCFunctionFactory,"(Object)Adapter, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.date.ExtractFromTimestampFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastIntToDateFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.groupby.AvgBooleanGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.math.DivIntFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.catalogue.CurrentSchemaFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.rnd.RndTimestampFunctionFactory,"(Object)Adapter, Factory Method, Decorator",4,9
io.questdb.griffin.engine.functions.catalogue.PgGetSIExprFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.groupby.CountLongGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.date.ToDateFunctionFactory,"State, Factory Method, Decorator",11,10
io.questdb.griffin.engine.functions.catalogue.UserByIdCatalogueFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.math.AbsIntFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.cast.CastDoubleToShortFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.eq.EqLong256FunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastNullTypeFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastLongToByteFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.groupby.CountLong256GroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.catalogue.PgClassFunctionFactory,"Factory Method, Decorator",51,12
io.questdb.griffin.engine.functions.math.MulFloatFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.groupby.SumDoubleGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastByteToDateFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.eq.EqIntStrCFunctionFactory,"State, Factory Method, Decorator",2,11
io.questdb.griffin.engine.functions.math.RemIntFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.math.SubIntFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.rnd.RndLong256NFunctionFactory,"(Object)Adapter, Factory Method, Decorator",4,10
io.questdb.griffin.engine.functions.eq.EqGeoHashGeoHashFunctionFactory,"Template Method, Factory Method, Decorator",5,14
io.questdb.griffin.engine.functions.lt.LtCharFunctionFactory,"State, Factory Method, Decorator",5,12
io.questdb.griffin.engine.functions.math.AddLongFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.str.LengthBinFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.table.TableWriterMetricsFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastShortToCharFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.cast.CastLongToDoubleFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.math.NegIntFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.catalogue.PgAttributeFunctionFactory,"State, Factory Method, Decorator",18,11
io.questdb.griffin.engine.functions.cast.CastFloatToLongFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.groupby.MaxFloatGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.math.RemLongFunctionFactory,"State, Factory Method, Decorator",2,10
io.questdb.griffin.engine.functions.catalogue.PgNamespaceFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.math.MulDoubleFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.cast.CastBooleanToShortFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.catalogue.PgGetKeywordsFunctionFactory,"Factory Method, Decorator",3,9
