Class,TotalBrokenRules,Minor,Major,Critical,Info
core:src/main/java/io/questdb/griffin/engine/functions/date/DateTruncFunctionFactory.java,2,0.0,0.0,2.0,0.0
core:src/main/java/io/questdb/griffin/engine/join/AbstractSymbolWrapOverCursor.java,1,0.0,1.0,0.0,0.0
core:src/main/java/io/questdb/griffin/engine/join/AsOfJoinRecordCursorFactory.java,1,0.0,1.0,0.0,0.0
core:src/main/java/io/questdb/griffin/engine/join/LtJoinRecordCursorFactory.java,1,0.0,1.0,0.0,0.0
core:src/main/java/io/questdb/griffin/engine/ops/CopyCancelFactory.java,2,1.0,1.0,0.0,0.0
core:src/main/java/io/questdb/griffin/engine/ops/CopyFactory.java,1,0.0,1.0,0.0,0.0
core:src/main/java/io/questdb/griffin/engine/table/ShowPartitionsRecordCursorFactory.java,3,0.0,0.0,3.0,0.0
core:src/main/java/io/questdb/griffin/model/IntervalUtils.java,5,2.0,1.0,2.0,0.0
core:src/main/java/io/questdb/griffin/model/QueryColumn.java,1,0.0,0.0,1.0,0.0
core:src/main/java/io/questdb/griffin/model/RuntimeIntervalModel.java,1,0.0,1.0,0.0,0.0
core:src/main/java/io/questdb/log/LogAlertSocket.java,3,1.0,0.0,2.0,0.0
core:src/main/java/io/questdb/log/LogFactory.java,1,0.0,0.0,1.0,0.0
core:src/main/java/io/questdb/log/LogRecordSink.java,4,2.0,1.0,0.0,0.0
core:src/main/java/io/questdb/std/Chars.java,2,0.0,0.0,0.0,0.0
core:src/main/java/io/questdb/std/Files.java,4,2.0,1.0,1.0,0.0
core:src/main/java/io/questdb/std/WeakObjectPoolBase.java,1,0.0,1.0,0.0,0.0
core:src/main/java/io/questdb/std/fastdouble/FastDoubleMath.java,7,6.0,0.0,1.0,0.0
core:src/main/java/io/questdb/std/fastdouble/FastDoubleSwar.java,3,2.0,1.0,0.0,0.0
core:src/main/java/io/questdb/std/fastdouble/FastFloatMath.java,1,0.0,0.0,1.0,0.0
core:src/main/java/io/questdb/std/str/Path.java,2,0.0,2.0,0.0,0.0
core:src/test/java/io/questdb/test/AbstractBootstrapTest.java,1,0.0,1.0,0.0,0.0
core:src/test/java/io/questdb/test/AbstractCairoTest.java,25,14.0,8.0,3.0,0.0
core:src/test/java/io/questdb/test/AbstractGriffinTest.java,22,1.0,15.0,5.0,0.0
core:src/test/java/io/questdb/test/AbstractTest.java,1,1.0,0.0,0.0,0.0
core:src/test/java/io/questdb/test/BootstrapTest.java,2,0.0,0.0,2.0,0.0
core:src/test/java/io/questdb/test/CollectionsTest.java,2,0.0,1.0,1.0,0.0
core:src/test/java/io/questdb/test/CreateTableTestUtils.java,2,0.0,1.0,1.0,0.0
core:src/test/java/io/questdb/test/FilesTest.java,13,2.0,0.0,10.0,1.0
core:src/test/java/io/questdb/test/MetricsTest.java,2,2.0,0.0,0.0,0.0
core:src/test/java/io/questdb/test/PerformanceTest.java,3,0.0,1.0,2.0,0.0
core:src/test/java/io/questdb/test/PropServerConfigurationTest.java,35,7.0,16.0,12.0,0.0
core:src/test/java/io/questdb/test/QuestDBTestNode.java,1,0.0,0.0,1.0,0.0
core:src/test/java/io/questdb/test/ServerMainBackupDatabaseTest.java,6,1.0,3.0,2.0,0.0
core:src/test/java/io/questdb/test/ServerMainForeignTableTest.java,11,0.0,2.0,8.0,1.0
core:src/test/java/io/questdb/test/ServerMainShowPartitionsTest.java,5,1.0,0.0,4.0,0.0
core:src/test/java/io/questdb/test/ServerMainVectorGroupByTest.java,2,0.0,0.0,2.0,0.0
core:src/test/java/io/questdb/test/TelemetryTest.java,10,3.0,0.0,7.0,0.0
core:src/test/java/io/questdb/test/TestListener.java,3,1.0,2.0,0.0,0.0
core:src/test/java/io/questdb/test/TestServerConfiguration.java,7,2.0,3.0,2.0,0.0
core:src/test/java/io/questdb/test/VolumeDefinitionsTest.java,8,3.0,1.0,4.0,0.0
core:src/test/java/io/questdb/test/cairo/BinarySearchTest.java,1,0.0,0.0,1.0,0.0
core:src/test/java/io/questdb/test/cairo/BitmapIndexTest.java,50,16.0,26.0,8.0,0.0
core:src/test/java/io/questdb/test/cairo/CairoEngineTest.java,7,0.0,6.0,1.0,0.0
core:src/test/java/io/questdb/test/cairo/CairoMemoryTest.java,10,2.0,5.0,3.0,0.0
core:src/test/java/io/questdb/test/cairo/CairoReadonlyEngineTest.java,2,1.0,0.0,1.0,0.0
core:src/test/java/io/questdb/test/cairo/ColumnVersionWriterTest.java,29,4.0,3.0,22.0,0.0
core:src/test/java/io/questdb/test/cairo/CreateTableTest.java,27,0.0,5.0,22.0,0.0
core:src/test/java/io/questdb/test/cairo/DoubleReloadTest.java,1,0.0,0.0,1.0,0.0
core:src/test/java/io/questdb/test/cairo/FullBwdDataFrameCursorTest.java,4,1.0,3.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/FullFwdDataFrameCursorFactoryTest.java,4,2.0,2.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/FullFwdDataFrameCursorTest.java,110,40.0,59.0,10.0,1.0
core:src/test/java/io/questdb/test/cairo/GenericRecordMetadataTest.java,2,0.0,1.0,1.0,0.0
core:src/test/java/io/questdb/test/cairo/GeoHashesTest.java,14,4.0,5.0,5.0,0.0
core:src/test/java/io/questdb/test/cairo/IndexBuilderTest.java,28,5.0,6.0,17.0,0.0
