Class,TotalBrokenRules,Minor,Major,Critical,Patterns,cg-na,cg-npm
core:src/test/java/io/questdb/test/cutlass/http/DispatcherWriterQueueTest.java,15,4.0,3.0,8.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/HealthCheckTest.java,10,0.0,0.0,10.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpAlterTableTest.java,1,0.0,0.0,1.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpFlushQueryCacheTest.java,1,0.0,0.0,1.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpHeaderParserTest.java,5,1.0,1.0,3.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpHealthCheckTestBuilder.java,5,4.0,0.0,1.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpMinTestBuilder.java,2,2.0,0.0,0.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpMultipartContentParserTest.java,7,3.0,1.0,3.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpQueryTestBuilder.java,14,13.0,0.0,1.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/IODispatcherTest.java,268,32.0,22.0,214.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/ImportIODispatcherTest.java,97,29.0,6.0,62.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/MetricsIODispatcherTest.java,1,0.0,0.0,1.0,"(Object)Adapter, State",0,0
core:src/test/java/io/questdb/test/cutlass/http/MimeTypesCacheTest.java,2,0.0,0.0,2.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/RetryIODispatcherTest.java,56,6.0,30.0,20.0,,0,0
core:src/test/java/io/questdb/test/cutlass/http/SendAndReceiveRequestBuilder.java,16,7.0,4.0,5.0,State,0,0
core:src/test/java/io/questdb/test/cutlass/http/WaitProcessorTest.java,5,0.0,2.0,3.0,,0,0
core:src/test/java/io/questdb/test/cutlass/json/JsonLexerTest.java,9,0.0,4.0,5.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/AbstractLinePartitionReadOnlyTest.java,13,0.0,1.0,12.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/LineSenderExceptionTest.java,4,3.0,0.0,1.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/interop/TestInterop.java,18,1.0,13.0,4.0,"(Object)Adapter, State",0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/AbstractLineTcpReceiverFuzzTest.java,9,1.0,4.0,4.0,Template Method,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/AbstractLineTcpReceiverTest.java,10,5.0,5.0,0.0,State,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/AlterTableDropActivePartitionLineTest.java,3,1.0,1.0,1.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/AlterTableLineTcpReceiverTest.java,28,14.0,1.0,13.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/AlterWalTableLineTcpReceiverTest.java,35,17.0,2.0,16.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/BaseLineTcpContextTest.java,4,0.0,1.0,3.0,"(Object)Adapter, Bridge",0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/BaseLineTcpInsertGeoHashTest.java,4,1.0,1.0,2.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/ColumnNameType.java,2,2.0,0.0,0.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/DelegatingTlsChannelTest.java,2,0.0,1.0,1.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/EllipticCurveAuthConnectionContextTest.java,10,0.0,3.0,7.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/IOTableUpdateDetailsPoolTest.java,2,0.0,0.0,2.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpConnectionContextTest.java,56,1.0,2.0,53.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpInsertByteGeoHashTest.java,5,0.0,0.0,4.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpInsertIntGeoHashTest.java,1,0.0,0.0,1.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpInsertLongGeoHashTest.java,4,0.0,0.0,4.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpInsertOtherTypesTest.java,36,1.0,1.0,34.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpInsertShortGeoHashTest.java,3,0.0,0.0,3.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpO3Test.java,11,7.0,3.0,1.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpParser2Test.java,10,0.0,4.0,6.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpPartitionReadOnlyTest.java,2,0.0,0.0,2.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpReceiverFuzzTest.java,2,1.0,0.0,1.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpReceiverTest.java,97,42.0,14.0,41.0,,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpReceiverUpdateFuzzTest.java,2,0.0,2.0,0.0,,0,0
