Class,TotalBrokenRules,Minor,Major,Critical,Patterns,cg-na,cg-npm
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/DefaultAttributeAction.java,6,1.0,2.0,3.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/DrawingAttributeAction.java,7,0.0,1.0,6.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/DrawingColorChooserAction.java,2,1.0,1.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/DrawingColorChooserHandler.java,5,0.0,5.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/DrawingColorIcon.java,2,0.0,0.0,2.0,State,4,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/EditorColorChooserAction.java,6,1.0,2.0,3.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/EditorColorIcon.java,2,0.0,0.0,2.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/GroupAction.java,2,1.0,0.0,1.0,Prototype,4,2
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/ImageBevelBorder.java,6,0.0,5.0,1.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/IncreaseHandleDetailLevelAction.java,1,0.0,1.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/LineDecorationIcon.java,1,1.0,0.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/MoveAction.java,4,2.0,1.0,1.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/MoveConstrainedAction.java,5,1.0,1.0,3.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/PickAttributesAction.java,2,2.0,0.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/SelectionColorChooserAction.java,1,1.0,0.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/SelectionColorChooserHandler.java,5,0.0,5.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/SelectionColorIcon.java,2,0.0,0.0,2.0,State,4,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/StrokeIcon.java,1,0.0,1.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/UngroupAction.java,1,0.0,1.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/ZoomAction.java,1,0.0,1.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/AbstractConnector.java,9,2.0,2.0,4.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/ChopDiamondConnector.java,5,1.0,3.0,1.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/ChopEllipseConnector.java,2,0.0,1.0,1.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/ChopRectangleConnector.java,1,0.0,0.0,1.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/ChopRoundRectangleConnector.java,1,0.0,0.0,1.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/Connector.java,2,1.0,0.0,0.0,"Prototype, Factory Method, State, (Object)Adapter",0,70
jhotdraw-core:src/main/java/org/jhotdraw/draw/connector/LocatorConnector.java,2,0.0,1.0,1.0,State,3,3
jhotdraw-core:src/main/java/org/jhotdraw/draw/decoration/AbstractLineDecoration.java,2,0.0,2.0,0.0,Template Method,4,8
jhotdraw-core:src/main/java/org/jhotdraw/draw/decoration/ArrowTip.java,1,0.0,1.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/decoration/CompositeLineDecoration.java,1,0.0,0.0,1.0,Composite,2,1
jhotdraw-core:src/main/java/org/jhotdraw/draw/decoration/LineDecoration.java,1,1.0,0.0,0.0,Composite,0,3
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/AbstractAttributeEditorHandler.java,16,3.0,8.0,5.0,"Template Method, Bridge",44,42
