Class,TotalBrokenRules,Minor,Major,Critical,Info,Pattern,cg-na,cg-npm
core:src/test/java/io/questdb/test/cairo/wal/WalWriterTest.java,65,5.0,47.0,13.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/wal/WriteAndReadSyncTest.java,3,1.0,1.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/client/LineSenderBuilderTest.java,8,0.0,0.0,8.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/IODispatcherHeartbeatTest.java,6,1.0,0.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/NetUtils.java,3,1.0,1.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/DispatcherWriterQueueTest.java,15,4.0,3.0,8.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/HealthCheckTest.java,10,0.0,0.0,10.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpAlterTableTest.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpFlushQueryCacheTest.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpHeaderParserTest.java,5,1.0,1.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpHealthCheckTestBuilder.java,5,4.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpMinTestBuilder.java,2,2.0,0.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpMultipartContentParserTest.java,7,3.0,1.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/HttpQueryTestBuilder.java,14,13.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/IODispatcherTest.java,268,32.0,22.0,214.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/ImportIODispatcherTest.java,97,29.0,6.0,62.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/MetricsIODispatcherTest.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/MimeTypesCacheTest.java,2,0.0,0.0,2.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/RetryIODispatcherTest.java,56,6.0,30.0,20.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/SendAndReceiveRequestBuilder.java,16,7.0,4.0,5.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/http/WaitProcessorTest.java,5,0.0,2.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/json/JsonLexerTest.java,9,0.0,4.0,5.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/AbstractLinePartitionReadOnlyTest.java,13,0.0,1.0,12.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/LineSenderExceptionTest.java,4,3.0,0.0,1.0,0.0,NONE,0,0
